City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Lichinga,MZ,-13.3128,35.2406,75.29,38,75,10.36,broken clouds
303,Villefranche-Sur-Saone,FR,45.9833,4.7167,61.54,64,36,7.81,scattered clouds
304,Dingle,PH,10.9995,122.6711,76.17,88,97,5.14,overcast clouds
305,Karpogory,RU,64.0019,44.4451,40.78,96,100,8.72,overcast clouds
306,Upata,VE,8.0086,-62.3989,83.37,68,93,7.63,overcast clouds
307,Lompoc,US,34.6391,-120.4579,59.52,98,100,1.01,fog
308,Walvis Bay,NA,-22.9575,14.5053,70.75,52,0,11.5,clear sky
309,Bengkulu,ID,-3.8004,102.2655,76.98,89,54,2.73,broken clouds
310,Kavieng,PG,-2.5744,150.7967,81.41,77,72,10.92,light rain
311,Atambua,ID,-9.1061,124.8925,75.9,82,100,3.49,overcast clouds
312,Gashua,NG,12.871,11.0482,96.49,29,91,9.37,overcast clouds
313,Mount Isa,AU,-20.7333,139.5,65.97,48,98,0.0,overcast clouds
314,Yulara,AU,-25.2406,130.9889,69.22,28,100,2.53,overcast clouds
315,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,58,0,6.91,clear sky
316,Wuan,CN,31.6836,112.0044,76.59,53,10,7.81,clear sky
317,Blagoyevo,RU,63.3667,47.9167,37.29,93,100,10.71,overcast clouds
318,Galle,LK,6.0367,80.217,79.14,84,100,15.75,light rain
319,Dakar,SN,14.6937,-17.4441,86.88,78,100,9.8,overcast clouds
320,Dhidhdhoo,MV,6.8833,73.1,80.28,81,100,21.97,overcast clouds
321,Muhos,FI,64.808,25.9931,38.98,99,100,0.2,overcast clouds
322,Sept-Iles,CA,50.2001,-66.3821,52.05,79,21,4.0,few clouds
323,Majene,ID,-3.5403,118.9707,79.84,81,100,1.21,overcast clouds
324,Olafsvik,IS,64.8945,-23.7142,46.02,89,99,21.83,overcast clouds
325,Hervey Bay,AU,-25.2986,152.8535,62.02,80,99,14.0,overcast clouds
326,Ambon,ID,-3.6954,128.1814,78.94,94,40,4.61,light rain
327,Tsalka,GE,41.5946,44.0891,59.02,58,35,0.65,scattered clouds
328,Santa Cruz,BO,-17.8,-63.1667,73.24,44,99,10.56,overcast clouds
329,Northam,GB,51.0333,-4.2167,59.25,97,100,30.18,light rain
330,Goma,CD,-1.6792,29.2228,69.06,76,100,3.09,light rain
331,Rudnya,RU,54.947,31.0934,52.45,74,82,4.27,broken clouds
332,Kodinsk,RU,58.6881,99.1844,28.04,73,100,3.76,overcast clouds
333,Buchanan,LR,5.8808,-10.0467,81.39,72,47,10.63,scattered clouds
334,Puerto Colombia,CO,10.9878,-74.9547,84.29,74,80,7.27,broken clouds
335,Te Anau,NZ,-45.4167,167.7167,32.7,94,20,1.52,few clouds
336,Palana,RU,59.1167,159.9667,38.26,86,100,9.17,light rain
337,Chirilagua,SV,13.2203,-88.1386,75.45,89,100,3.27,overcast clouds
338,Swellendam,ZA,-34.0226,20.4417,69.94,49,100,11.77,overcast clouds
339,Samarai,PG,-10.6167,150.6667,80.8,80,6,9.22,clear sky
340,Hirara,JP,24.8,125.2833,82.4,74,1,12.15,clear sky
341,New Smyrna Beach,US,29.0258,-80.927,71.02,65,39,13.15,scattered clouds
342,Tuatapere,NZ,-46.1333,167.6833,33.93,90,11,3.49,few clouds
343,Pandan,PH,14.0453,124.1694,79.97,84,14,7.49,few clouds
344,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,0.0,light intensity drizzle
345,Poso,ID,-1.3959,120.7524,76.6,90,100,3.89,overcast clouds
